                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.79689,                0.82035,                 1.1682,                 0.5418,                 0.5531,                0.55947,                0.39189,                 1.1041,                 1.1998,                 1.4546,             0.00052806,             0.00052806,             0.00052806
                     56,                0.78951,                0.79827,                 1.1552,                0.58208,                0.57904,                 0.6031,                0.43976,                 1.0274,                 1.0592,                 1.4304,             0.00051706,             0.00051706,             0.00051706
                     57,                0.77941,                0.77945,                  1.152,                0.53273,                0.61388,                0.58048,                 0.4118,                 1.0905,                 1.0692,                 1.4729,             0.00050606,             0.00050606,             0.00050606
                     58,                0.78392,                0.77852,                 1.1485,                0.60585,                0.58757,                 0.6165,                0.43982,                 1.0683,                 1.0748,                 1.4622,             0.00049506,             0.00049506,             0.00049506
                     59,                 0.7837,                0.77249,                 1.1502,                0.45943,                0.61268,                0.55191,                0.38559,                 1.1333,                 1.2039,                 1.5433,             0.00048406,             0.00048406,             0.00048406
                     60,                 0.7869,                0.77481,                  1.157,                 0.6168,                0.64566,                0.61735,                0.43365,                 1.1043,                 1.1104,                 1.4827,             0.00047306,             0.00047306,             0.00047306
                     61,                0.76423,                0.74403,                 1.1455,                0.59191,                0.67664,                0.62285,                0.44363,                 1.0531,                 1.0089,                 1.4342,             0.00046206,             0.00046206,             0.00046206
                     62,                0.74217,                0.73021,                 1.1339,                0.51142,                0.70046,                0.61571,                0.44156,                 1.1342,                 1.0966,                 1.5526,             0.00045107,             0.00045107,             0.00045107
                     63,                0.74861,                0.73049,                 1.1287,                0.59017,                0.65878,                0.65097,                0.47645,                  1.046,                 1.0217,                  1.428,             0.00044007,             0.00044007,             0.00044007
                     64,                 0.7503,                0.74287,                 1.1356,                0.63635,                0.58108,                0.64665,                0.46318,                 1.0698,                 1.0121,                 1.4437,             0.00042907,             0.00042907,             0.00042907
                     65,                0.73516,                0.71896,                 1.1311,                0.69931,                0.63503,                0.67092,                  0.482,                 1.0868,                0.98061,                 1.4829,             0.00041807,             0.00041807,             0.00041807
                     66,                0.74691,                 0.7299,                 1.1311,                0.61645,                0.59865,                0.61619,                0.45093,                  1.092,                 1.0581,                 1.5106,             0.00040707,             0.00040707,             0.00040707
                     67,                0.73222,                0.70266,                 1.1153,                0.63009,                0.64998,                0.64242,                 0.4683,                 1.0519,                0.99753,                 1.4584,             0.00039607,             0.00039607,             0.00039607
                     68,                0.72262,                0.69863,                 1.1216,                0.58422,                0.64472,                 0.6354,                0.46975,                 1.0608,                0.98755,                 1.4592,             0.00038507,             0.00038507,             0.00038507
                     69,                0.71377,                0.67681,                   1.12,                0.64547,                0.63391,                0.64814,                0.47054,                 1.0499,                0.97187,                 1.4399,             0.00037407,             0.00037407,             0.00037407
                     70,                0.72272,                0.66705,                 1.1168,                0.61683,                0.61124,                0.65318,                0.47553,                 1.0839,                0.96782,                 1.4918,             0.00036307,             0.00036307,             0.00036307
                     71,                0.70039,                0.65372,                 1.1064,                 0.6642,                0.58065,                0.63839,                0.45589,                  1.052,                  1.038,                 1.4556,             0.00035208,             0.00035208,             0.00035208
                     72,                0.69154,                0.64205,                 1.1082,                0.52539,                0.66229,                 0.6207,                0.44011,                 1.0786,                  1.075,                 1.4752,             0.00034108,             0.00034108,             0.00034108
                     73,                0.68983,                0.66242,                 1.0979,                0.60331,                0.61245,                0.63798,                0.45912,                 1.0529,                 0.9991,                 1.4528,             0.00033008,             0.00033008,             0.00033008
                     74,                0.71354,                 0.6499,                 1.1054,                0.64705,                0.58095,                0.64196,                0.46177,                 1.0818,                 1.0504,                 1.4553,             0.00031908,             0.00031908,             0.00031908
                     75,                0.68793,                0.63324,                 1.1007,                0.62552,                0.65203,                0.64705,                0.46255,                 1.0535,                 1.0562,                 1.4693,             0.00030808,             0.00030808,             0.00030808
                     76,                0.67588,                0.61671,                 1.0954,                0.62191,                 0.6116,                0.63589,                0.47215,                 1.0281,                 1.0746,                 1.4323,             0.00029708,             0.00029708,             0.00029708
                     77,                0.66394,                0.63341,                 1.0962,                0.65241,                0.70971,                0.67889,                0.50262,                 1.0148,                0.97895,                 1.4272,             0.00028608,             0.00028608,             0.00028608
                     78,                0.65983,                 0.6246,                 1.0914,                0.62829,                 0.6486,                0.64456,                0.47677,                 1.0611,                 1.0325,                 1.4654,             0.00027508,             0.00027508,             0.00027508
                     79,                0.66219,                0.61189,                 1.0827,                0.62603,                0.66082,                0.64205,                0.47082,                 1.0498,                0.97938,                 1.4427,             0.00026408,             0.00026408,             0.00026408
                     80,                0.66688,                0.61263,                 1.0848,                0.61772,                0.60672,                0.62773,                0.46793,                 1.0191,                 1.0327,                 1.4187,             0.00025309,             0.00025309,             0.00025309
                     81,                0.65244,                0.60109,                 1.0829,                  0.586,                0.64494,                 0.6224,                0.47049,                  1.028,                0.99942,                 1.4314,             0.00024209,             0.00024209,             0.00024209
                     82,                0.65086,                 0.5789,                 1.0778,                0.65232,                0.60216,                0.64334,                0.47744,                 1.0156,                0.98953,                 1.4149,             0.00023109,             0.00023109,             0.00023109
                     83,                0.64919,                0.57807,                  1.071,                0.58297,                0.61699,                0.60506,                0.43648,                 1.0225,                 1.0824,                 1.4435,             0.00022009,             0.00022009,             0.00022009
                     84,                0.63072,                0.57651,                 1.0664,                0.60729,                0.61442,                0.63301,                0.46418,                  1.038,                  1.013,                 1.4595,             0.00020909,             0.00020909,             0.00020909
                     85,                0.62723,                0.55569,                 1.0719,                0.56178,                0.65071,                0.63194,                 0.4638,                 1.0282,                0.99131,                 1.4482,             0.00019809,             0.00019809,             0.00019809
                     86,                0.63679,                0.56337,                 1.0719,                  0.583,                0.69297,                0.65376,                0.47426,                 1.0506,                0.97979,                 1.4761,             0.00018709,             0.00018709,             0.00018709
                     87,                0.62252,                0.55371,                 1.0658,                0.64375,                0.58203,                0.63219,                0.46636,                 1.0356,                0.99708,                 1.4679,             0.00017609,             0.00017609,             0.00017609
                     88,                0.61657,                0.54911,                 1.0656,                0.59486,                0.63805,                0.65248,                0.47299,                 1.0591,                  1.002,                 1.4711,             0.00016509,             0.00016509,             0.00016509
                     89,                0.62344,                 0.5425,                  1.067,                0.66352,                0.58209,                0.65053,                0.47889,                 1.0389,                0.97253,                 1.4568,              0.0001541,              0.0001541,              0.0001541
                     90,                0.60728,                0.53396,                 1.0656,                0.64605,                0.59365,                0.64453,                0.47994,                 1.0329,                0.95065,                 1.4587,              0.0001431,              0.0001431,              0.0001431
                     91,                0.49228,                0.38044,                0.97946,                0.64336,                0.60538,                0.63482,                0.47092,                 1.0599,                 0.9906,                 1.5078,              0.0001321,              0.0001321,              0.0001321
                     92,                0.45508,                0.32603,                0.95917,                0.64426,                0.60268,                0.63881,                0.48036,                 1.0139,                  1.007,                 1.4359,              0.0001211,              0.0001211,              0.0001211
